year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
2008,Seasonal,2,10,-8.0,-80.0,462,0.43,0,9
2010,Seasonal,5,2,3.0,150.0,531,0.94,0,14
2011,Seasonal,3,5,-2.0,-40.0,644,0.47,0,11
2012,Seasonal,3,3,0.0,0.0,766,0.39,0,18
2013,Seasonal,7,3,4.0,133.33,809,0.87,0,15
2014,Seasonal,1,7,-6.0,-85.71,1043,0.1,0,12
2015,Seasonal,3,1,2.0,200.0,1016,0.3,0,16
2016,Seasonal,1,3,-2.0,-66.67,998,0.1,0,13
2017,Seasonal,4,1,3.0,300.0,1104,0.36,0,6
2018,Seasonal,3,4,-1.0,-25.0,1065,0.28,0,13
2019,Seasonal,9,3,6.0,200.0,1106,0.81,0,9
2020,Seasonal,10,9,1.0,11.11,1116,0.9,0,11
2021,Seasonal,5,10,-5.0,-50.0,1220,0.41,0,8
2022,Seasonal,10,5,5.0,100.0,1217,0.82,0,5
2023,Seasonal,9,10,-1.0,-10.0,1141,0.79,0,7
2024,Seasonal,5,9,-4.0,-44.44,1225,0.41,0,8
2025,Seasonal,8,5,3.0,60.0,1104,0.72,0,7
2012,Series 8 Minifigures,19,0,0.0,0.0,766,2.48,1,18
2016,Skylines,4,0,0.0,0.0,998,0.4,1,13
2017,Skylines,3,4,-1.0,-25.0,1104,0.27,0,6
2018,Skylines,2,3,-1.0,-33.33,1065,0.19,0,13
2019,Skylines,2,2,0.0,0.0,1106,0.18,0,9
2020,Skylines,2,2,0.0,0.0,1116,0.18,0,11
2022,Skylines,1,2,-1.0,-50.0,1217,0.08,0,5
2023,Sonic The Hedgehog,6,0,0.0,0.0,1141,0.53,1,7
2024,Sonic The Hedgehog,6,6,0.0,0.0,1225,0.49,0,8
2025,Sonic The Hedgehog,8,6,2.0,33.33,1104,0.72,0,7
2009,Space Police III,12,0,0.0,0.0,550,2.18,1,7
2010,Space Police III,5,12,-7.0,-58.33,531,0.94,0,14
1999,Space Port,22,0,0.0,0.0,378,5.82,1,12
2015,Speed Champions,9,0,0.0,0.0,1016,0.89,1,16
2016,Speed Champions,8,9,-1.0,-11.11,998,0.8,0,13
2017,Speed Champions,8,8,0.0,0.0,1104,0.72,0,6
2018,Speed Champions,6,8,-2.0,-25.0,1065,0.56,0,13
2019,Speed Champions,6,6,0.0,0.0,1106,0.54,0,9
1997,Tabletop Games and Puzzles,1,1,0.0,0.0,286,0.35,0,10
2001,Tabletop Games and Puzzles,2,1,1.0,100.0,459,0.44,0,13
2006,Tabletop Games and Puzzles,3,2,1.0,50.0,441,0.68,0,7
2007,Tabletop Games and Puzzles,1,3,-2.0,-66.67,481,0.21,0,5
2009,Tabletop Games and Puzzles,3,1,2.0,200.0,550,0.55,0,7
2011,Tabletop Games and Puzzles,1,3,-2.0,-66.67,644,0.16,0,11
2013,Tabletop Games and Puzzles,2,1,1.0,100.0,809,0.25,0,15
2015,Tabletop Games and Puzzles,1,2,-1.0,-50.0,1016,0.1,0,16
2020,Tabletop Games and Puzzles,5,1,4.0,400.0,1116,0.45,0,11
2021,Tabletop Games and Puzzles,9,5,4.0,80.0,1220,0.74,0,8
2022,Tabletop Games and Puzzles,8,9,-1.0,-11.11,1217,0.66,0,5
2023,Tabletop Games and Puzzles,8,8,0.0,0.0,1141,0.7,0,7
2024,Tabletop Games and Puzzles,12,8,4.0,50.0,1225,0.98,0,8
2025,Tabletop Games and Puzzles,13,12,1.0,8.33,1104,1.18,0,7
2018,The LEGO Movie II,1,0,0.0,0.0,1065,0.09,1,13
2019,The LEGO Movie II,64,1,63.0,6300.0,1106,5.79,0,9
2014,Ultra Agents,6,0,0.0,0.0,1043,0.58,1,12
2015,Ultra Agents,9,6,3.0,50.0,1016,0.89,0,16
1994,Unitron,1,0,0.0,0.0,170,0.59,1,4
1995,Unitron,3,1,2.0,200.0,195,1.54,0,7
2012,X-Men,2,0,0.0,0.0,766,0.26,1,18
2014,X-Men,1,2,-1.0,-50.0,1043,0.1,0,12
2022,X-Men,1,1,0.0,0.0,1217,0.08,0,5
